"Reference","Value","Footprint","Qty","DNP","MPN","LCSC"
"C1","220uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","","ESE227M025AG3AA",""
"C2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","50YXJ10M5X11",""
"C3","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","50YXJ10M5X11",""
"C4","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","50YXJ10M5X11",""
"C5","100nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","","RD20B104K500A5HAND",""
"C6","1uF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","","SR305E105ZARTR1",""
"C7","100nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","","RD20B104K500A5HAND",""
"C8","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","50YXJ10M5X11",""
"C9","100nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","","RD20B104K500A5HAND",""
"C10","10nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1","","C315C103K5R5TA",""
"C11","100nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","","RD20B104K500A5HAND",""
"D1","1N5822","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","1","","1N5822-TP",""
"D2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","1N4148",""
"D3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","","1N4148",""
"IC1","SN74LVC1G04","v9k_dma_rev2:SOT65P210X110-5N","1","","SN74LVC1G04DCKR",""
"J3","microSD","v9k_dma_rev2:HRS_DM3AT-SF-PEJM5","1","","DM3AT-SF-PEJM5",""
"J4","OLED SPI","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J5","ENCODER","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J6","ACT LED","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J7","ESP32 BREAKOUT","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J8","DEBUG UART","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J9","SWD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"J10","EXPANDER GPIO","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"JP1","ESP FLASH TX","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"JP2","ESP FLASH RX","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","PREC040SAAN-RC",""
"R1","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","RNMF14FTC330R",""
"R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","MFR-25FRF52-10K",""
"R3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","MFR-25FRF52-10K",""
"R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","MFR-25FRF52-10K",""
"R7","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","MFR-25FTE52-2K2",""
"R8","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","MFR-25FTE52-470R",""
"RN1","47k","v9k_dma_rev2:4609X101473LF","1","","4609X-101-473LF",""
"RN2","2.7k","Resistor_THT:R_Array_SIP4","1","","4604X-101-272LF",""
"U3","ESP32-S3-WROOM-1U-N16R8","RF_Module:ESP32-S3-WROOM-1U","1","","ESP32-S3-WROOM-1U-N16R8",""
"U4","LD1117V33","Package_TO_SOT_THT:TO-220-3_Vertical","1","","LD1117V33",""
"U5","MCP23S17","Package_DIP:DIP-28_W7.62mm","1","","MCP23S17-E/SP",""
